dataset,model,seed,forget_size,method,accuracy,fid,mia
Adult,LR,105,10,Weighting,0.848603228,3.28E-13,1.58E-05
Adult,LR,106,5,Exact,0.852583475,0,0.299984205
Adult,LR,106,5,Weighting,0.852583475,8.54E-13,0.299984205
Adult,LR,106,10,Exact,0.852730891,0,0.099984205
Adult,LR,106,10,Weighting,0.852730891,5.15E-12,0.099984205
Adult,LR,107,5,Exact,0.846907938,0,0.099984205
Adult,LR,107,5,SISA,0.847129063,0.19644129,0.099984205
Adult,LR,107,5,Weighting,0.846907938,2.29E-13,0.099984205
Adult,LR,107,10,Exact,0.847055355,0,0.100015795
Adult,LR,107,10,SISA,0.847129063,0.186190556,0.100015795
Adult,LR,107,10,Weighting,0.847055355,6.49E-13,0.100015795
Adult,LR,108,5,Exact,0.846539397,0,0.100015795
Adult,LR,108,5,SISA,0.845728606,0.130399,0.100015795
Adult,LR,108,5,Weighting,0.846539397,1.45E-12,0.100015795
Adult,LR,108,10,Exact,0.846318272,0,0.200015795
Adult,LR,108,10,SISA,0.845949731,0.10470862,0.200015795
Adult,LR,108,10,Weighting,0.846318272,7.71E-12,0.200015795
Adult,LR,109,5,Exact,0.846318272,0,0.100015795
Adult,LR,109,5,SISA,0.845507481,0.075494097,0.100015795
Adult,LR,109,5,Weighting,0.846318272,1.83E-13,0.100015795
Adult,LR,109,10,Exact,0.846170856,0,0.099984205
Adult,LR,109,10,SISA,0.84558119,0.080850537,0.099984205
Adult,LR,109,10,Weighting,0.846170856,2.70E-13,0.099984205
Adult,LR,110,5,Exact,0.849487728,0,0.300015795
Adult,LR,110,5,SISA,0.850003685,0.132150526,0.300015795
Adult,LR,110,5,Weighting,0.849487728,4.22E-14,0.300015795
Adult,LR,110,10,Exact,0.849487728,0,0.100015795
Adult,LR,110,10,SISA,0.849856269,0.146916162,0.100015795
Adult,LR,110,10,Weighting,0.849487728,1.60E-13,0.100015795
Adult,LR,111,5,Exact,0.847129063,0,0.100015795
Adult,LR,111,5,SISA,0.846244564,0.088245681,0.100015795
Adult,LR,111,5,Weighting,0.847129063,3.03E-12,0.100015795
Adult,LR,111,10,Exact,0.847202771,0,1.58E-05
Adult,LR,111,10,SISA,0.846244564,0.091314366,1.58E-05
Adult,LR,111,10,Weighting,0.847202771,1.35E-12,1.58E-05
Adult,LR,112,5,Exact,0.850003685,0,0.099984205
Adult,LR,112,5,SISA,0.849045478,0.153676754,0.099984205
Adult,LR,112,5,Weighting,0.850003685,1.69E-11,0.099984205
Adult,LR,112,10,Exact,0.849856269,0,1.58E-05
Adult,LR,112,10,SISA,0.849045478,0.140078262,1.58E-05
Adult,LR,112,10,Weighting,0.849856269,5.52E-11,1.58E-05
Adult,LR,113,5,Exact,0.846318272,0,0.099984205
Adult,LR,113,5,SISA,0.845876023,0.126173185,0.099984205
Adult,LR,113,5,Weighting,0.846318272,6.72E-13,0.099984205
Adult,LR,113,10,Exact,0.846097147,0,1.58E-05
Adult,LR,113,10,SISA,0.846097147,0.131223495,1.58E-05
Adult,LR,113,10,Weighting,0.846097147,1.46E-12,1.58E-05
Adult,LR,114,5,Exact,0.850003685,0,0.099984205
Adult,LR,114,5,SISA,0.850077394,0.07733265,0.099984205
Adult,LR,114,5,Weighting,0.850003685,3.02E-12,0.099984205
Adult,LR,114,10,Exact,0.850077394,0,0.099984205
Adult,LR,114,10,SISA,0.850151102,0.078152159,0.099984205
Adult,LR,114,10,Weighting,0.850077394,1.52E-12,0.099984205
Adult,RF,100,5,Exact,0.840347903,0,0.068930659
Adult,RF,100,5,SISA,0.853025724,0.021657696,0.298562628
Adult,RF,100,5,Weighting,0.842485443,0.0104106,0.268393619
Adult,RF,100,10,Exact,0.842632859,0,0.132332965
Adult,RF,100,10,SISA,0.850961893,0.018521206,0.0986574
Adult,RF,100,10,Weighting,0.843959608,0.01141541,0.068046122
Adult,RF,101,5,Exact,0.849414019,0,0.126962565
Adult,RF,101,5,SISA,0.856784846,0.014823365,0.09973148
Adult,RF,101,5,Weighting,0.851551559,0.010244916,0.126362344
Adult,RF,101,10,Exact,0.850151102,0,0.327531196
Adult,RF,101,10,SISA,0.855826638,0.012256241,0.20187964
Adult,RF,101,10,Weighting,0.849635144,0.011049079,0.326583478
Adult,RF,102,5,Exact,0.844475566,0,0.329047544
Adult,RF,102,5,SISA,0.855163264,0.017895009,0.103143263
Adult,RF,102,5,Weighting,0.848824353,0.01200883,0.327847102
Adult,RF,102,10,Exact,0.84727648,0,0.072342442
Adult,RF,102,10,SISA,0.855015847,0.016714825,0.001405781
Adult,RF,102,10,Weighting,0.848603228,0.011212859,0.029079134
Adult,RF,103,5,Exact,0.849635144,0,0.124593271
Adult,RF,103,5,SISA,0.856711137,0.02370757,0.102321908
Adult,RF,103,5,Weighting,0.847645021,0.014529234,0.074901279
Adult,RF,103,10,Exact,0.848013562,0,0.02399305
Adult,RF,103,10,SISA,0.856342596,0.018718715,0.102353499
